SGO Report ID,SGO Report Version,SGO Amendment,Year Month,Location,Crash Type,Is NHTSA Reportable In-Transport,Is NHTSA Reportable In-Transport Delta-V Less than 1 MPH,Is Police-Reported,Is Any-Injury-Reported,Is Any Vehicle Airbag Deployment,Is Ego Vehicle Airbag Deployment,Is Suspected Serious Injury+,Incident Date,Location Address / Description,Zip Code
30270-11622,1,Amendment 3,202508,SAN_FRANCISCO,V2V F2R,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,8/28/25,Haight Street at Octavia Street, 
30270-11621,1,Amendment 3,202508,PHOENIX,V2V Intersection,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,8/18/25,N. 1st Avenue at W. Adams Street, 
30270-11611,1,Amendment 3,202508,PHOENIX,V2V Lateral,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,8/27/25,S. 24th Street near E. Broadway Road, 
30270-11607,1,Amendment 3,202508,SAN_FRANCISCO,V2V Lateral,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,8/29/25,16th Street near Market Street, 
30270-11605,1,Amendment 3,202508,SAN_FRANCISCO,V2V Lateral,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,8/31/25,Dearborn Street near 17th Street, 
30270-11596,1,Amendment 3,202508,SAN_FRANCISCO,V2V F2R,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,8/31/25,Cesar Chavez Street at S. Van Ness Avenue, 
30270-11594,1,Amendment 3,202508,PHOENIX,Single Vehicle,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,8/29/25,N. 66th Place near E. Horseshoe Road, 
30270-11591,1,Amendment 3,202508,LOS_ANGELES,All Others,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,8/29/25,W. Olympic Boulevard near Patricia Avenue, 
30270-11590,1,Amendment 3,202508,SAN_FRANCISCO,All Others,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,8/25/25,Spruce Street near California Street, 
30270-11589,1,Amendment 3,202508,SAN_FRANCISCO,V2V F2R,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,8/31/25,Mission Street at School Street, 
30270-11588,1,Amendment 3,202508,SAN_FRANCISCO,V2V F2R,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,8/29/25,The Circle at University Avenue, 
30270-11573,1,Amendment 3,202508,SAN_FRANCISCO,V2V Backing,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,8/23/25,Larkin Street near North Point Street, 
30270-11571,1,Amendment 3,202508,PHOENIX,All Others,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,8/26/25,S. 17th Avenue near W. Buchanan Street, 
30270-11569,1,Amendment 3,202508,ATLANTA,All Others,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,8/16/25,parking lot at 1750 Ellsworth Industrial Boulevard NW, 
30270-11567,1,Amendment 3,202508,SAN_FRANCISCO,V2V Lateral,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,8/20/25,18th Street at Lapidge Street, 
30270-11565,1,Amendment 3,202508,PHOENIX,V2V Intersection,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,8/18/25,E. Camelback Road at N. 18th Street, 
30270-11564,1,Amendment 3,202508,LOS_ANGELES,V2V Lateral,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,8/22/25,2nd Street at Colorado Avenue, 
30270-11561,1,Amendment 3,202508,LOS_ANGELES,Single Vehicle,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,8/21/25,E. 11th Street near Imperial Street, 
30270-11548,1,Amendment 3,202508,LOS_ANGELES,Single Vehicle,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,8/21/25,an alley behind S. Turo Avenue, 
30270-11547,1,Amendment 3,202508,LOS_ANGELES,V2V Head-on,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,8/22/25,Berryman Avenue near Herbert Street, 
30270-11546,1,Amendment 3,202508,PHOENIX,Single Vehicle,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,8/21/25,E. Broadway Avenue near S. 44th Place, 
30270-11545,1,Amendment 3,202508,PHOENIX,V2V Intersection,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,8/23/25,Washington Street at the frontage road following the off-ramp exit of Interstate 10, 
30270-11544,1,Amendment 3,202508,LOS_ANGELES,V2V Lateral,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,8/24/25,Beverly Boulevard at N. Curson Avenue, 
30270-11543,1,Amendment 3,202508,LOS_ANGELES,V2V Lateral,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,8/24/25,Pacific Avenue at 30th Avenue, 
30270-11542,1,Amendment 3,202508,SAN_FRANCISCO,V2V Head-on,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,8/14/25,Montgomery Street at Jackson Street, 
30270-11525,1,Amendment 3,202508,PHOENIX,V2V Intersection,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,8/19/25,entrance of a parking lot located at 291 E. Buckeye Road, 
30270-11523,1,Amendment 3,202508,SAN_FRANCISCO,V2V Head-on,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,8/13/25,Albion Street near Camp Street, 
30270-11522,1,Amendment 3,202508,SAN_FRANCISCO,V2V F2R,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,8/10/25,Mission Street near Angelo's Alley, 
30270-11516,1,Amendment 3,202508,SAN_FRANCISCO,V2V Backing,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,8/16/25,Lombard Street and Columbus Avenue, 
30270-11508,1,Amendment 3,202508,LOS_ANGELES,V2V Head-on,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,8/13/25,Strathmore Drive near Veteran Avenue, 
30270-11502,1,Amendment 3,202508,PHOENIX,V2V F2R,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,8/1/25,West Parking Lot off of Sky Harbor Circle, 
30270-11501,1,Amendment 3,202508,SAN_FRANCISCO,All Others,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,8/13/25,26th Street near Castro Street, 
30270-11500,1,Amendment 3,202508,PHOENIX,Single Vehicle,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,8/12/25,S. 16th Street near E. Hadley Street, 
30270-11498,1,Amendment 3,202508,PHOENIX,V2V Backing,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,8/2/25,parking lot at 550 W. Baseline Road, 
30270-11496,1,Amendment 3,202508,SAN_FRANCISCO,Motorcycle,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,8/2/25,Masonic Avenue at Haight Street, 
30270-11495,1,Amendment 3,202508,LOS_ANGELES,V2V Lateral,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,8/10/25,Normandie Avenue near 1st Street, 
30270-11490,1,Amendment 3,202508,SAN_FRANCISCO,V2V F2R,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,8/7/25,Van Ness Avenue near Grove Street, 
30270-11488,2,Amendment 3,202508,SAN_FRANCISCO,V2V F2R,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,8/7/25,Market Street at Gough Street, 
30270-11476,1,Amendment 3,202508,LOS_ANGELES,V2V F2R,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,8/6/25,N. Sycamore Avenue near W. Sunset Boulevard, 
30270-11475,1,Amendment 3,202508,LOS_ANGELES,V2V F2R,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,8/8/25,Wilshire Boulevard at Shatto Place, 
30270-11474,1,Amendment 3,202508,LOS_ANGELES,V2V F2R,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,8/7/25,N. Robertson Boulevard at Beverly Boulevard, 
30270-11469,1,Amendment 3,202508,SAN_FRANCISCO,V2V Intersection,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,8/6/25,Montgomery Street at Pacific Avenue, 
30270-11456,1,Amendment 3,202508,SAN_FRANCISCO,Motorcycle,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,8/4/25,Jones Street near Geary Street, 
30270-11450,1,Amendment 3,202508,SAN_FRANCISCO,V2V Head-on,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,8/1/25,Frida Kahlo Way near Cloud Circle, 
30270-11433,1,Amendment 3,202508,SAN_FRANCISCO,V2V Intersection,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,8/1/25,Florida Street at 21st Street, 
30270-11468,1,Amendment 3,202507,SAN_FRANCISCO,V2V F2R,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7/27/25,Presidio Boulevard at Lombard Street, 
30270-11467,1,Amendment 3,202507,LOS_ANGELES,Single Vehicle,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,7/19/25,entrance of a parking lot at 12582 Millennium Drive, 
30270-11455,1,Amendment 3,202507,SAN_FRANCISCO,V2V Head-on,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,7/30/25,Zoe Street at Freelon Street, 
30270-11452,1,Amendment 3,202507,SAN_FRANCISCO,Pedestrian,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,7/6/25,Leavenworth Street at Geary Street, 
30270-11451,1,Amendment 3,202507,AUSTIN,V2V Lateral,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7/29/25,E. 8th Street near Congress Avenue, 
30270-11432,1,Amendment 3,202507,PHOENIX,V2V Lateral,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,7/31/25,parking lot at 291 E. Buckeye Road, 
30270-11430,1,Amendment 3,202507,LOS_ANGELES,V2V F2R,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7/31/25,E. Fairview Boulevard at N. La Brea Avenue, 
30270-11428,1,Amendment 3,202507,SAN_FRANCISCO,V2V F2R,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7/26/25,9th Street at Market Street, 
30270-11426,1,Amendment 3,202507,PHOENIX,Single Vehicle,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,7/25/25,parking lot at 1515 E. Elliot Road, 
30270-11424,1,Amendment 3,202507,PHOENIX,V2V Backing,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7/30/25,West Parking Lot off of Sky Harbor Circle at the Phoenix Sky Harbor International Airport, 
30270-11424,1,Amendment 3,202507,PHOENIX,V2V Backing,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7/30/25,West Parking Lot off of Sky Harbor Circle, 
30270-11422,1,Amendment 3,202507,SAN_FRANCISCO,Single Vehicle,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,7/24/25,Midcrest Way near Cityview Way, 
30270-11421,1,Amendment 3,202507,SAN_FRANCISCO,V2V F2R,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7/24/25,Guerrero Street at 14th Street, 
30270-11420,1,Amendment 3,202507,SAN_FRANCISCO,V2V Lateral,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,7/29/25,Oak Street near Divisadero Street, 
30270-11418,1,Amendment 3,202507,LOS_ANGELES,V2V Backing,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7/16/25,Euclid Court near Broadway, 
30270-11417,1,Amendment 3,202507,PHOENIX,V2V Head-on,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,7/28/25,N. Galvin Parkway near the Desert Botanical Garden entrance, 
30270-11415,1,Amendment 3,202507,SAN_FRANCISCO,V2V F2R,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7/23/25,N. El Camino Real at Park Road, 
30270-11414,1,Amendment 3,202507,LOS_ANGELES,V2V F2R,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7/24/25,W. Pico Boulevard at S. Beverly Glen Boulevard, 
30270-11413,1,Amendment 3,202507,SAN_FRANCISCO,V2V F2R,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7/29/25,29th Street near Noe Street, 
30270-11412,1,Amendment 3,202507,PHOENIX,V2V Head-on,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,7/19/25,S. Wilson Street near W. 9th Street, 
30270-11404,1,Amendment 3,202507,LOS_ANGELES,V2V Lateral,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,7/17/25,Charleville Boulevard near S. Reeves Drive, 
30270-11402,1,Amendment 3,202507,SAN_FRANCISCO,V2V F2R,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7/14/25,13th Street at Harrison Street, 
30270-11401,1,Amendment 3,202507,LOS_ANGELES,V2V F2R,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7/11/25,Veteran Avenue at La Grange Avenue, 
30270-11400,1,Amendment 3,202507,SAN_FRANCISCO,V2V F2R,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7/25/25,Mission Street near 10th Street, 
30270-11384,1,Amendment 3,202507,LOS_ANGELES,V2V Lateral,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,7/23/25,N. Las Palmas Avenue at W. Sunset Boulevard, 
30270-11383,1,Amendment 3,202507,ATLANTA,V2V Lateral,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,7/23/25,Peachtree Street NE near Huntington Road NE, 
30270-11381,1,Amendment 3,202507,PHOENIX,V2V Intersection,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,7/20/25,N. Miller Road at E. Indian School Road, 
30270-11379,1,Amendment 3,202507,PHOENIX,Single Vehicle,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,7/20/25,a parking lot at 120 E. 7th Street, 
30270-11378,1,Amendment 3,202507,SAN_FRANCISCO,V2V F2R,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7/22/25,Crossover Drive near Transverse Avenue, 
30270-11374,1,Amendment 3,202507,LOS_ANGELES,V2V Intersection,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7/13/25,Firmona Avenue at W. Century Boulevard, 
30270-11373,1,Amendment 3,202507,SAN_FRANCISCO,V2V Lateral,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,7/21/25,10th Street near Jessie Street, 
30270-11372,1,Amendment 3,202507,LOS_ANGELES,V2V F2R,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,7/21/25,S. Grevillea Avenue at E. Spruce Avenue, 
30270-11371,1,Amendment 3,202507,AUSTIN,V2V F2R,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7/15/25,West Avenue at W. 6th Street, 
30270-11370,1,Amendment 3,202507,PHOENIX,V2V F2R,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,7/18/25,E. Indian School Road at N. Scottsdale Road, 
30270-11365,1,Amendment 3,202507,SAN_FRANCISCO,V2V F2R,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7/13/25,Sloat Boulevard at 21st Avenue, 
30270-11362,1,Amendment 3,202507,SAN_FRANCISCO,V2V Backing,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7/10/25,Winston Drive at 20th Avenue, 
30270-11361,1,Amendment 3,202507,PHOENIX,Single Vehicle,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,7/16/25,Country Club Drive at W. Rio Salado Parkway, 
