report_id,report_version,amendment,year_month,city,crash_type,nhtsa_reportable,low_severity,police_reported,injury_reported,airbag_any,airbag_ego,serious_injury,incident_date,address,zip_code,year,month,month_name,day,day_of_week,day_of_week_num,is_weekend,quarter,year_month_dt,city_clean,severity_score,latitude,longitude
30270-11544,1.0,Amendment 3,202508,LOS_ANGELES,V2V Lateral,True,True,False,False,False,False,False,2025-08-24,Beverly Boulevard at N. Curson Avenue, ,2025.0,8.0,August,24.0,Sunday,6.0,True,3.0,2025-08,Los Angeles,0,34.056231069459145,-118.25155269815176
30270-11543,1.0,Amendment 3,202508,LOS_ANGELES,V2V Lateral,True,False,False,False,False,False,False,2025-08-24,Pacific Avenue at 30th Avenue, ,2025.0,8.0,August,24.0,Sunday,6.0,True,3.0,2025-08,Los Angeles,0,34.046508807201,-118.22441236781648
30270-11542,1.0,Amendment 3,202508,SAN_FRANCISCO,V2V Head-on,True,True,False,False,False,False,False,2025-08-14,Montgomery Street at Jackson Street, ,2025.0,8.0,August,14.0,Thursday,3.0,False,3.0,2025-08,San Francisco,0,37.77676724766536,-122.42461224917396
30270-11525,1.0,Amendment 3,202508,PHOENIX,V2V Intersection,True,False,True,False,False,False,False,2025-08-19,entrance of a parking lot located at 291 E. Buckeye Road, ,2025.0,8.0,August,19.0,Tuesday,1.0,False,3.0,2025-08,Phoenix,1,33.449859912986625,-112.08972091805946
30270-11523,1.0,Amendment 3,202508,SAN_FRANCISCO,V2V Head-on,True,False,False,False,False,False,False,2025-08-13,Albion Street near Camp Street, ,2025.0,8.0,August,13.0,Wednesday,2.0,False,3.0,2025-08,San Francisco,0,37.777323381868534,-122.43118432209003
30270-11522,1.0,Amendment 3,202508,SAN_FRANCISCO,V2V F2R,True,False,False,False,False,False,False,2025-08-10,Mission Street near Angelo's Alley, ,2025.0,8.0,August,10.0,Sunday,6.0,True,3.0,2025-08,San Francisco,0,37.778420407080816,-122.42660288339474
30270-11516,1.0,Amendment 3,202508,SAN_FRANCISCO,V2V Backing,True,False,False,False,False,False,False,2025-08-16,Lombard Street and Columbus Avenue, ,2025.0,8.0,August,16.0,Saturday,5.0,True,3.0,2025-08,San Francisco,0,37.76128611725498,-122.42843629644875
30270-11508,1.0,Amendment 3,202508,LOS_ANGELES,V2V Head-on,True,True,False,False,False,False,False,2025-08-13,Strathmore Drive near Veteran Avenue, ,2025.0,8.0,August,13.0,Wednesday,2.0,False,3.0,2025-08,Los Angeles,0,34.05785068388565,-118.2354081589128
30270-11502,1.0,Amendment 3,202508,PHOENIX,V2V F2R,False,False,False,False,False,False,False,2025-08-01,West Parking Lot off of Sky Harbor Circle, ,2025.0,8.0,August,1.0,Friday,4.0,False,3.0,2025-08,Phoenix,0,33.467486576846596,-112.07132924006412
30270-11501,1.0,Amendment 3,202508,SAN_FRANCISCO,All Others,True,True,False,False,False,False,False,2025-08-13,26th Street near Castro Street, ,2025.0,8.0,August,13.0,Wednesday,2.0,False,3.0,2025-08,San Francisco,0,37.75996051534946,-122.4135349391196
30270-11500,1.0,Amendment 3,202508,PHOENIX,Single Vehicle,True,False,False,False,False,False,False,2025-08-12,S. 16th Street near E. Hadley Street, ,2025.0,8.0,August,12.0,Tuesday,1.0,False,3.0,2025-08,Phoenix,0,33.43229157152399,-112.077906216581
30270-11498,1.0,Amendment 3,202508,PHOENIX,V2V Backing,True,True,False,False,False,False,False,2025-08-02,parking lot at 550 W. Baseline Road, ,2025.0,8.0,August,2.0,Saturday,5.0,True,3.0,2025-08,Phoenix,0,33.43224001330802,-112.08487750307887
30270-11496,1.0,Amendment 3,202508,SAN_FRANCISCO,Motorcycle,True,False,True,True,False,False,False,2025-08-02,Masonic Avenue at Haight Street, ,2025.0,8.0,August,2.0,Saturday,5.0,True,3.0,2025-08,San Francisco,3,37.79458594954321,-122.40066950626196
30270-11495,1.0,Amendment 3,202508,LOS_ANGELES,V2V Lateral,True,True,False,False,False,False,False,2025-08-10,Normandie Avenue near 1st Street, ,2025.0,8.0,August,10.0,Sunday,6.0,True,3.0,2025-08,Los Angeles,0,34.062908225664216,-118.23544840293673
30270-11490,1.0,Amendment 3,202508,SAN_FRANCISCO,V2V F2R,True,True,False,False,False,False,False,2025-08-07,Van Ness Avenue near Grove Street, ,2025.0,8.0,August,7.0,Thursday,3.0,False,3.0,2025-08,San Francisco,0,37.76842087778387,-122.40808827518623
30270-11488,2.0,Amendment 3,202508,SAN_FRANCISCO,V2V F2R,True,False,False,True,False,False,False,2025-08-07,Market Street at Gough Street, ,2025.0,8.0,August,7.0,Thursday,3.0,False,3.0,2025-08,San Francisco,2,37.78775455059222,-122.4244292402923
30270-11476,1.0,Amendment 3,202508,LOS_ANGELES,V2V F2R,True,False,False,True,False,False,False,2025-08-06,N. Sycamore Avenue near W. Sunset Boulevard, ,2025.0,8.0,August,6.0,Wednesday,2.0,False,3.0,2025-08,Los Angeles,2,34.03830012248919,-118.25210747093277
30270-11475,1.0,Amendment 3,202508,LOS_ANGELES,V2V F2R,True,False,True,True,False,False,False,2025-08-08,Wilshire Boulevard at Shatto Place, ,2025.0,8.0,August,8.0,Friday,4.0,False,3.0,2025-08,Los Angeles,3,34.04201742160844,-118.24825121461933
